Agency	CLR	County	MRD	State	Year
Rankin County	2	Rankin, MS	4	Mississippi	2015
Scott County	0	Scott, MS	3	Mississippi	2015
Stone County	1	Stone, MS	1	Mississippi	2015
Tunica County	1	Tunica, MS	1	Mississippi	2015
Vicksburg	6	Warren, MS	8	Mississippi	2015
Warren County	2	Warren, MS	2	Mississippi	2015
Greenville	0	Washington, MS	12	Mississippi	2015
Washington County	3	Washington, MS	3	Mississippi	2015
Benton County	1	Benton, OR	1	Oregon	2015
Corvallis	0	Benton, OR	1	Oregon	2015
State Police: Clackamas County	1	Clackamas, OR	1	Oregon	2015
Rainier	2	Columbia, OR	2	Oregon	2015
State Police: Columbia County	2	Columbia, OR	3	Oregon	2015
Coos Bay	2	Coos, OR	3	Oregon	2015
Crook County	1	Crook, OR	2	Oregon	2015
State Police: Curry County	0	Curry, OR	1	Oregon	2015
Bend	1	Deschutes, OR	2	Oregon	2015
Redmond	1	Deschutes, OR	1	Oregon	2015
Douglas County	1	Douglas, OR	3	Oregon	2015
Myrtle Creek	0	Douglas, OR	1	Oregon	2015
Roseburg	1	Douglas, OR	1	Oregon	2015
State Police: Harney County	0	Harney, OR	1	Oregon	2015
Central Point	1	Jackson, OR	1	Oregon	2015
Jackson County	2	Jackson, OR	3	Oregon	2015
Medford	1	Jackson, OR	1	Oregon	2015
Madras	0	Jefferson, OR	1	Oregon	2015
Grants Pass	0	Josephine, OR	1	Oregon	2015
Josephine County	0	Josephine, OR	3	Oregon	2015
State Police: Josephine County	3	Josephine, OR	4	Oregon	2015
Klamath Falls	1	Klamath, OR	1	Oregon	2015
State Police: Klamath County	1	Klamath, OR	1	Oregon	2015
Eugene	3	Lane, OR	5	Oregon	2015
Florence	1	Lane, OR	1	Oregon	2015
Lane County	4	Lane, OR	4	Oregon	2015
Springfield	7	Lane, OR	8	Oregon	2015
Lincoln City	1	Lincoln, OR	1	Oregon	2015
Albany	2	Linn, OR	2	Oregon	2015
Linn County	1	Linn, OR	1	Oregon	2015
Malheur County	1	Malheur, OR	1	Oregon	2015
Marion County	0	Marion, OR	2	Oregon	2015
Salem	5	Marion, OR	5	Oregon	2015
Gresham	1	Multnomah, OR	1	Oregon	2015
Portland	1	Multnomah, OR	4	Oregon	2015
Tillamook County	1	Tillamook, OR	1	Oregon	2015
Hermiston	0	Umatilla, OR	1	Oregon	2015
Milton-Freewater	0	Umatilla, OR	1	Oregon	2015
Umatilla Tribal	1	Umatilla, OR	1	Oregon	2015
The Dalles	1	Wasco, OR	1	Oregon	2015
Wasco County	0	Wasco, OR	1	Oregon	2015
Washington County	1	Washington, OR	0	Oregon	2015
Mcminnville	1	Yamhill, OR	1	Oregon	2015
Yamhill County	0	Yamhill, OR	1	Oregon	2015
Baldwin Borough	0	Allegheny, PA	1	Pennsylvania	2015
Clairton	0	Allegheny, PA	4	Pennsylvania	2015
Dormont	1	Allegheny, PA	1	Pennsylvania	2015
East Pittsburgh	0	Allegheny, PA	1	Pennsylvania	2015
Forward Township	1	Allegheny, PA	1	Pennsylvania	2015
Homestead	0	Allegheny, PA	1	Pennsylvania	2015
Kennedy Township	0	Allegheny, PA	1	Pennsylvania	2015
Mckees Rocks	1	Allegheny, PA	1	Pennsylvania	2015
Mckeesport	2	Allegheny, PA	11	Pennsylvania	2015
Monroeville	0	Allegheny, PA	2	Pennsylvania	2015
Moon Township	1	Allegheny, PA	1	Pennsylvania	2015
Munhall	0	Allegheny, PA	1	Pennsylvania	2015
North Braddock	0	Allegheny, PA	1	Pennsylvania	2015
North Versailles Township	1	Allegheny, PA	1	Pennsylvania	2015
Penn Hills	0	Allegheny, PA	2	Pennsylvania	2015
Pittsburgh	37	Allegheny, PA	57	Pennsylvania	2015
Sharpsburg	1	Allegheny, PA	1	Pennsylvania	2015
State Police: Allegheny County	1	Allegheny, PA	1	Pennsylvania	2015
Unknown	0	Allegheny, PA	4	Pennsylvania	2015
West Mifflin	0	Allegheny, PA	1	Pennsylvania	2015
Wilkins Township	0	Allegheny, PA	1	Pennsylvania	2015
Leechburg	0	Armstrong, PA	1	Pennsylvania	2015
Beaver Falls	0	Beaver, PA	3	Pennsylvania	2015
New Brighton	1	Beaver, PA	1	Pennsylvania	2015
State Police: Bedford County	2	Bedford, PA	2	Pennsylvania	2015
Central Berks Regional	2	Berks, PA	2	Pennsylvania	2015
County Det: Berks County	1	Berks, PA	0	Pennsylvania	2015
Reading	7	Berks, PA	15	Pennsylvania	2015
State Police: Berks County	1	Berks, PA	0	Pennsylvania	2015
Altoona	1	Blair, PA	1	Pennsylvania	2015
State Police: Bradford County	1	Bradford, PA	1	Pennsylvania	2015
Bensalem Township	4	Bucks, PA	3	Pennsylvania	2015
Middletown Township	1	Bucks, PA	1	Pennsylvania	2015
Newtown Township	1	Bucks, PA	1	Pennsylvania	2015
Pennridge Regional	1	Bucks, PA	0	Pennsylvania	2015
Richland Township	1	Bucks, PA	1	Pennsylvania	2015
Warrington Township	0	Bucks, PA	1	Pennsylvania	2015
Johnstown	3	Cambria, PA	3	Pennsylvania	2015
Richland Township	1	Cambria, PA	1	Pennsylvania	2015
State Police: Cambria County	1	Cambria, PA	1	Pennsylvania	2015
West Hills Regional	0	Cambria, PA	1	Pennsylvania	2015
State Police: Carbon County	0	Carbon, PA	1	Pennsylvania	2015
State College	2	Centre, PA	2	Pennsylvania	2015
State Police: Centre County	1	Centre, PA	0	Pennsylvania	2015
Coatesville	1	Chester, PA	1	Pennsylvania	2015
North Coventry Township	1	Chester, PA	1	Pennsylvania	2015
Uwchlan Township	2	Chester, PA	2	Pennsylvania	2015
West Chester	1	Chester, PA	1	Pennsylvania	2015
West Goshen Township	0	Chester, PA	1	Pennsylvania	2015
Du Bois	3	Clearfield, PA	2	Pennsylvania	2015
Sandy Township	1	Clearfield, PA	1	Pennsylvania	2015
State Police: Clearfield County	1	Clearfield, PA	1	Pennsylvania	2015
Renovo	0	Clinton, PA	1	Pennsylvania	2015
State Police: Clinton County	1	Clinton, PA	1	Pennsylvania	2015
State Police: Columbia County	1	Columbia, PA	1	Pennsylvania	2015
State Police: Crawford County	2	Crawford, PA	2	Pennsylvania	2015
East Pennsboro Township	1	Cumberland, PA	1	Pennsylvania	2015
State Police: Cumberland County	1	Cumberland, PA	1	Pennsylvania	2015
Harrisburg	15	Dauphin, PA	18	Pennsylvania	2015
Susquehanna Township	1	Dauphin, PA	1	Pennsylvania	2015
Chester	4	Delaware, PA	23	Pennsylvania	2015
Darby	1	Delaware, PA	2	Pennsylvania	2015
Darby Township	1	Delaware, PA	1	Pennsylvania	2015
East Lansdowne	0	Delaware, PA	1	Pennsylvania	2015
Eddystone	1	Delaware, PA	1	Pennsylvania	2015
Glenolden	0	Delaware, PA	2	Pennsylvania	2015
Norwood	1	Delaware, PA	1	Pennsylvania	2015
Upper Darby Township	1	Delaware, PA	1	Pennsylvania	2015
Yeadon	0	Delaware, PA	4	Pennsylvania	2015
Erie	1	Erie, PA	9	Pennsylvania	2015
State Police: Erie County	2	Erie, PA	2	Pennsylvania	2015
State Police: Fayette County	3	Fayette, PA	3	Pennsylvania	2015
State Police: Franklin County	3	Franklin, PA	3	Pennsylvania	2015
State Police: Fulton County	2	Fulton, PA	2	Pennsylvania	2015
Indiana	1	Indiana, PA	1	Pennsylvania	2015
State Police: Jefferson County	1	Jefferson, PA	1	Pennsylvania	2015
State Police: Juniata County	1	Juniata, PA	1	Pennsylvania	2015
Dunmore	0	Lackawanna, PA	1	Pennsylvania	2015
Scranton	1	Lackawanna, PA	0	Pennsylvania	2015
Ephrata	1	Lancaster, PA	1	Pennsylvania	2015
Lancaster	5	Lancaster, PA	7	Pennsylvania	2015
Lancaster Township	2	Lancaster, PA	3	Pennsylvania	2015
Manheim Township	2	Lancaster, PA	1	Pennsylvania	2015
Millersville University	1	Lancaster, PA	1	Pennsylvania	2015
Northern Lancaster C Reg	1	Lancaster, PA	1	Pennsylvania	2015
State Police: Lancaster County	2	Lancaster, PA	2	Pennsylvania	2015
New Castle	1	Lawrence, PA	1	Pennsylvania	2015
State Police: Lawrence County	2	Lawrence, PA	1	Pennsylvania	2015
Lebanon	3	Lebanon, PA	3	Pennsylvania	2015
Mount Gretna Borough	1	Lebanon, PA	1	Pennsylvania	2015
Allentown	7	Lehigh, PA	9	Pennsylvania	2015
Upper Macungine Township	1	Lehigh, PA	1	Pennsylvania	2015
Whitehall Township	2	Lehigh, PA	1	Pennsylvania	2015
Butler Township	1	Luzerne, PA	1	Pennsylvania	2015
Hanover Township	1	Luzerne, PA	1	Pennsylvania	2015
Hazleton	2	Luzerne, PA	2	Pennsylvania	2015
Salem Township	1	Luzerne, PA	1	Pennsylvania	2015
State Police: Luzerne County	12	Luzerne, PA	12	Pennsylvania	2015
Wilkes-Barre	1	Luzerne, PA	4	Pennsylvania	2015
Wilkes-Barre Township	2	Luzerne, PA	2	Pennsylvania	2015
Williamsport	6	Lycoming, PA	7	Pennsylvania	2015
Bradford	1	McKean, PA	1	Pennsylvania	2015
State Police: Mckean County	2	McKean, PA	2	Pennsylvania	2015
Hermitage	1	Mercer, PA	2	Pennsylvania	2015
Pymatuning Township	0	Mercer, PA	1	Pennsylvania	2015
Sharon	1	Mercer, PA	3	Pennsylvania	2015
State Police: Mifflin County	0	Mifflin, PA	2	Pennsylvania	2015
Pocono Mountain Regional	3	Monroe, PA	1	Pennsylvania	2015
State Police: Monroe County	4	Monroe, PA	1	Pennsylvania	2015
Abington Township	0	Montgomery, PA	2	Pennsylvania	2015
Cheltenham Township	1	Montgomery, PA	1	Pennsylvania	2015
Franconia Township	1	Montgomery, PA	1	Pennsylvania	2015
Hatfield Township	2	Montgomery, PA	2	Pennsylvania	2015
Lansdale	2	Montgomery, PA	0	Pennsylvania	2015
Lower Moreland Township	2	Montgomery, PA	2	Pennsylvania	2015
Lower Providence Township	1	Montgomery, PA	1	Pennsylvania	2015
Montgomery Township	1	Montgomery, PA	1	Pennsylvania	2015
Norristown	3	Montgomery, PA	4	Pennsylvania	2015
Pottstown	0	Montgomery, PA	1	Pennsylvania	2015
State Police: Skippack	1	Montgomery, PA	0	Pennsylvania	2015
Upper Moreland Township	1	Montgomery, PA	1	Pennsylvania	2015
Upper Perkiomen	1	Montgomery, PA	0	Pennsylvania	2015
Bethlehem	2	Northampton, PA	1	Pennsylvania	2015
Easton	0	Northampton, PA	2	Pennsylvania	2015
Shamokin	0	Northumberland, PA	2	Pennsylvania	2015
Sunbury	0	Northumberland, PA	1	Pennsylvania	2015
State Police: Perry County	2	Perry, PA	2	Pennsylvania	2015
Philadelphia	161	Philadelphia, PA	280	Pennsylvania	2015
State Police: Pike County	2	Pike, PA	2	Pennsylvania	2015
Ashland	1	Schuylkill, PA	1	Pennsylvania	2015
Mahanoy Township	2	Schuylkill, PA	2	Pennsylvania	2015
Pottsville	1	Schuylkill, PA	2	Pennsylvania	2015
Shenandoah	1	Schuylkill, PA	1	Pennsylvania	2015
State Police: Schuylkill County	5	Schuylkill, PA	7	Pennsylvania	2015
State Police: Susquehanna County	3	Susquehanna, PA	3	Pennsylvania	2015
Oil City	0	Venango, PA	1	Pennsylvania	2015
Warren	1	Warren, PA	1	Pennsylvania	2015
State Police: Washington County	1	Washington, PA	3	Pennsylvania	2015
Washington	2	Washington, PA	2	Pennsylvania	2015
Arnold	1	Westmoreland, PA	1	Pennsylvania	2015
Jeannette	0	Westmoreland, PA	1	Pennsylvania	2015
New Kensington	1	Westmoreland, PA	2	Pennsylvania	2015
Rostraver Township	0	Westmoreland, PA	1	Pennsylvania	2015
State Police: Westmoreland County	1	Westmoreland, PA	1	Pennsylvania	2015
State Police: Wyoming County	3	Wyoming, PA	3	Pennsylvania	2015
Carroll Township	1	York, PA	1	Pennsylvania	2015
Northeastern Regional	1	York, PA	1	Pennsylvania	2015
Southern Regional York C	0	York, PA	1	Pennsylvania	2015
Springettsbury Township	3	York, PA	3	Pennsylvania	2015
State Police: York County	2	York, PA	2	Pennsylvania	2015
Wrightsville	1	York, PA	1	Pennsylvania	2015
York	4	York, PA	10	Pennsylvania	2015
Warwick	1	Kent, RI	2	Rhodes Island	2015
West Warwick	0	Kent, RI	1	Rhodes Island	2015
Middletown	1	Newport, RI	1	Rhodes Island	2015
Newport	0	Newport, RI	1	Rhodes Island	2015
Portsmouth	1	Newport, RI	1	Rhodes Island	2015
Burrillville	1	Providence, RI	1	Rhodes Island	2015
Central Falls	1	Providence, RI	0	Rhodes Island	2015
Cranston	4	Providence, RI	3	Rhodes Island	2015
East Providence	2	Providence, RI	1	Rhodes Island	2015
North Providence	0	Providence, RI	1	Rhodes Island	2015
Pawtucket	1	Providence, RI	1	Rhodes Island	2015
Providence	5	Providence, RI	14	Rhodes Island	2015
Rhode Island State Police Headquarters	0	Providence, RI	3	Rhodes Island	2015
Woonsocket	1	Providence, RI	1	Rhodes Island	2015
Abbeville	1	Abbeville, SC	1	South Carolina	2015
Abbeville County	0	Abbeville, SC	2	South Carolina	2015
Aiken County	7	Aiken, SC	8	South Carolina	2015
New Ellenton	1	Aiken, SC	1	South Carolina	2015
North Augusta	0	Aiken, SC	1	South Carolina	2015
Allendale	0	Allendale, SC	1	South Carolina	2015
Anderson	1	Anderson, SC	2	South Carolina	2015
Anderson County	13	Anderson, SC	18	South Carolina	2015
Bamberg	1	Bamberg, SC	1	South Carolina	2015
Denmark	0	Bamberg, SC	2	South Carolina	2015
Barnwell County	1	Barnwell, SC	1	South Carolina	2015
Williston	1	Barnwell, SC	1	South Carolina	2015
Beaufort	4	Beaufort, SC	6	South Carolina	2015
Beaufort County	6	Beaufort, SC	11	South Carolina	2015
Bluffton	1	Beaufort, SC	1	South Carolina	2015
Port Royal	0	Beaufort, SC	1	South Carolina	2015
Berkeley County	2	Berkeley, SC	4	South Carolina	2015
Goose Creek	1	Berkeley, SC	1	South Carolina	2015
St. Stephen	0	Berkeley, SC	1	South Carolina	2015
Calhoun County	2	Calhoun, SC	2	South Carolina	2015
St. Matthews	0	Calhoun, SC	1	South Carolina	2015
Charleston	16	Charleston, SC	16	South Carolina	2015
Charleston County	1	Charleston, SC	7	South Carolina	2015
Isle Of Palms	1	Charleston, SC	1	South Carolina	2015
Mount Pleasant	3	Charleston, SC	3	South Carolina	2015
North Charleston	12	Charleston, SC	19	South Carolina	2015
Cherokee County	2	Cherokee, SC	2	South Carolina	2015
Gaffney	1	Cherokee, SC	1	South Carolina	2015
Chester	1	Chester, SC	1	South Carolina	2015
Chester County	0	Chester, SC	1	South Carolina	2015
Chesterfield County	1	Chesterfield, SC	1	South Carolina	2015
Pageland	1	Chesterfield, SC	1	South Carolina	2015
Clarendon County	1	Clarendon, SC	2	South Carolina	2015
Manning	1	Clarendon, SC	1	South Carolina	2015
Colleton County	0	Colleton, SC	1	South Carolina	2015
Dillon	0	Dillon, SC	2	South Carolina	2015
Dillon County	0	Dillon, SC	1	South Carolina	2015
Dorchester County	2	Dorchester, SC	7	South Carolina	2015
St. George	0	Dorchester, SC	1	South Carolina	2015
Summerville	1	Dorchester, SC	4	South Carolina	2015
Edgefield County	0	Edgefield, SC	1	South Carolina	2015
Fairfield County	1	Fairfield, SC	2	South Carolina	2015
Winnsboro	2	Fairfield, SC	2	South Carolina	2015
Florence	4	Florence, SC	4	South Carolina	2015
Florence County	2	Florence, SC	3	South Carolina	2015
Lake City	3	Florence, SC	3	South Carolina	2015
Timmonsville	1	Florence, SC	2	South Carolina	2015
Andrews	1	Georgetown, SC	1	South Carolina	2015
Georgetown	2	Georgetown, SC	2	South Carolina	2015
Georgetown County	1	Georgetown, SC	6	South Carolina	2015
Greenville	5	Greenville, SC	5	South Carolina	2015
Greenville County	11	Greenville, SC	12	South Carolina	2015
Greer	0	Greenville, SC	3	South Carolina	2015
Mauldin	1	Greenville, SC	1	South Carolina	2015
Simpsonville	1	Greenville, SC	1	South Carolina	2015
Travelers Rest	2	Greenville, SC	2	South Carolina	2015
Greenwood	2	Greenwood, SC	2	South Carolina	2015
Greenwood County	1	Greenwood, SC	1	South Carolina	2015
Ware Shoals	1	Greenwood, SC	1	South Carolina	2015
Estill	0	Hampton, SC	2	South Carolina	2015
Hampton	1	Hampton, SC	1	South Carolina	2015
Hampton County	0	Hampton, SC	2	South Carolina	2015
Conway	2	Horry, SC	2	South Carolina	2015
Horry County Police Department	13	Horry, SC	40	South Carolina	2015
Myrtle Beach	8	Horry, SC	8	South Carolina	2015
North Myrtle Beach	3	Horry, SC	4	South Carolina	2015
Hardeeville	0	Jasper, SC	1	South Carolina	2015
Jasper County	4	Jasper, SC	11	South Carolina	2015
Camden	1	Kershaw, SC	1	South Carolina	2015
Kershaw County	1	Kershaw, SC	2	South Carolina	2015
Lancaster County	5	Lancaster, SC	5	South Carolina	2015
Clinton	1	Laurens, SC	1	South Carolina	2015
Laurens	1	Laurens, SC	0	South Carolina	2015
Laurens County	3	Laurens, SC	3	South Carolina	2015
Lee County	2	Lee, SC	2	South Carolina	2015
Batesburg-Leesville	1	Lexington, SC	1	South Carolina	2015
Lexington County	12	Lexington, SC	15	South Carolina	2015
West Columbia	1	Lexington, SC	1	South Carolina	2015
Marion	1	Marion, SC	1	South Carolina	2015
Bennettsville	1	Marlboro, SC	3	South Carolina	2015
Marlboro County	1	Marlboro, SC	1	South Carolina	2015
Newberry	2	Newberry, SC	2	South Carolina	2015
Newberry County	1	Newberry, SC	1	South Carolina	2015
Oconee County	1	Oconee, SC	3	South Carolina	2015
Walhalla	1	Oconee, SC	1	South Carolina	2015
Orangeburg County	4	Orangeburg, SC	9	South Carolina	2015
Clemson	1	Pickens, SC	1	South Carolina	2015
Pickens	1	Pickens, SC	1	South Carolina	2015
Pickens County	3	Pickens, SC	4	South Carolina	2015
Columbia	5	Richland, SC	13	South Carolina	2015
Forest Acres	1	Richland, SC	1	South Carolina	2015
Richland County	11	Richland, SC	16	South Carolina	2015
University of South Carolina: Columbia	0	Richland, SC	1	South Carolina	2015
Spartanburg	3	Spartanburg, SC	6	South Carolina	2015
Spartanburg County	13	Spartanburg, SC	15	South Carolina	2015
Woodruff	1	Spartanburg, SC	2	South Carolina	2015
Sumter	2	Sumter, SC	4	South Carolina	2015
Sumter County	3	Sumter, SC	3	South Carolina	2015
Union County	2	Union, SC	3	South Carolina	2015
Williamsburg County	3	Williamsburg, SC	4	South Carolina	2015
Fort Mill	0	York, SC	1	South Carolina	2015
Rock Hill	3	York, SC	4	South Carolina	2015
York County	3	York, SC	6	South Carolina	2015
Aberdeen	1	Brown, SD	3	South Dakota	2015
Chamberlain	1	Brule, SD	1	South Dakota	2015
Charles Mix County	5	Charles Mix, SD	5	South Dakota	2015
Clay County	0	Clay, SD	1	South Dakota	2015
Mitchell	0	Davison, SD	1	South Dakota	2015
Cheyenne River Tribal	1	Dewey, SD	1	South Dakota	2015
Division of Criminal Investigation	2	Hughes, SD	2	South Dakota	2015
Madison	1	Lake, SD	1	South Dakota	2015
Lawrence County	1	Lawrence, SD	1	South Dakota	2015
Lennox	1	Lincoln, SD	1	South Dakota	2015
Meade County	1	Meade, SD	1	South Dakota	2015
Sioux Falls	2	Minnehaha, SD	2	South Dakota	2015
Pennington County	1	Pennington, SD	1	South Dakota	2015
Rapid City	4	Pennington, SD	7	South Dakota	2015
Perkins County	1	Perkins, SD	1	South Dakota	2015
Rosebud Tribal	0	Todd, SD	1	South Dakota	2015
Anderson County	1	Anderson, TN	1	Tennessee	2015
Oak Ridge	1	Anderson, TN	1	Tennessee	2015
Bedford County	1	Bedford, TN	1	Tennessee	2015
Shelbyville	1	Bedford, TN	1	Tennessee	2015
Benton County	2	Benton, TN	2	Tennessee	2015
Blount County	0	Blount, TN	1	Tennessee	2015
Maryville	1	Blount, TN	1	Tennessee	2015
Bradley County	2	Bradley, TN	2	Tennessee	2015
Cleveland	2	Bradley, TN	4	Tennessee	2015
Campbell County	1	Campbell, TN	1	Tennessee	2015
La Follette	1	Campbell, TN	1	Tennessee	2015
Carter County	2	Carter, TN	2	Tennessee	2015
Claiborne County	2	Claiborne, TN	3	Tennessee	2015
Clay County	1	Clay, TN	3	Tennessee	2015
Cocke County	1	Cocke, TN	3	Tennessee	2015
Cumberland County	1	Cumberland, TN	1	Tennessee	2015
Dept of Correction Int A	1	Davidson, TN	1	Tennessee	2015
Goodlettsville	2	Davidson, TN	2	Tennessee	2015
Nashville	43	Davidson, TN	79	Tennessee	2015
Tennessee State University	0	Davidson, TN	1	Tennessee	2015
DeKalb County	1	DeKalb, TN	1	Tennessee	2015
Smithville	1	DeKalb, TN	1	Tennessee	2015
Dickson	0	Dickson, TN	2	Tennessee	2015
Fayette County	1	Fayette, TN	1	Tennessee	2015
Fentress County	1	Fentress, TN	1	Tennessee	2015
Gibson County	2	Gibson, TN	2	Tennessee	2015
Giles County	1	Giles, TN	1	Tennessee	2015
Greene County	1	Greene, TN	1	Tennessee	2015
Monteagle	0	Grundy, TN	1	Tennessee	2015
Hamblen County	1	Hamblen, TN	1	Tennessee	2015
Chattanooga	15	Hamilton, TN	21	Tennessee	2015
East Ridge	1	Hamilton, TN	1	Tennessee	2015
Hamilton County	1	Hamilton, TN	1	Tennessee	2015
Soddy-Daisy	0	Hamilton, TN	1	Tennessee	2015
Hancock County	1	Hancock, TN	1	Tennessee	2015
Bolivar	1	Hardeman, TN	0	Tennessee	2015
Hardeman County	0	Hardeman, TN	1	Tennessee	2015
Hawkins County	1	Hawkins, TN	1	Tennessee	2015
Brownsville	1	Haywood, TN	1	Tennessee	2015
Henderson County	0	Henderson, TN	1	Tennessee	2015
Henry County	0	Henry, TN	1	Tennessee	2015
Hickman County	1	Hickman, TN	2	Tennessee	2015
Jefferson County	2	Jefferson, TN	2	Tennessee	2015
Knoxville	17	Knox, TN	22	Tennessee	2015
Ripley	0	Lauderdale, TN	1	Tennessee	2015
Lawrence County	0	Lawrence, TN	1	Tennessee	2015
Lawrenceburg	0	Lawrence, TN	1	Tennessee	2015
Lewis County	0	Lewis, TN	1	Tennessee	2015
Fayetteville	1	Lincoln, TN	1	Tennessee	2015
Lincoln County	1	Lincoln, TN	1	Tennessee	2015
Loudon County	1	Loudon, TN	1	Tennessee	2015
Macon County	1	Macon, TN	1	Tennessee	2015
Jackson	7	Madison, TN	8	Tennessee	2015
Madison County	0	Madison, TN	1	Tennessee	2015
Marion County	1	Marion, TN	1	Tennessee	2015
Lewisburg	1	Marshall, TN	1	Tennessee	2015
Columbia	2	Maury, TN	2	Tennessee	2015
Maury County	1	Maury, TN	1	Tennessee	2015
Athens	0	McMinn, TN	3	Tennessee	2015
Meigs County	1	Meigs, TN	3	Tennessee	2015
Monroe County	0	Monroe, TN	1	Tennessee	2015
Clarksville	10	Montgomery, TN	14	Tennessee	2015
Montgomery County	1	Montgomery, TN	1	Tennessee	2015
Morgan County	0	Morgan, TN	1	Tennessee	2015
Obion	1	Obion, TN	1	Tennessee	2015
Perry County	0	Perry, TN	1	Tennessee	2015
Polk County	2	Polk, TN	2	Tennessee	2015
Monterey	0	Putnam, TN	1	Tennessee	2015
Putnam County	1	Putnam, TN	0	Tennessee	2015
Robertson County	1	Robertson, TN	1	Tennessee	2015
Springfield	1	Robertson, TN	0	Tennessee	2015
La Vergne	1	Rutherford, TN	0	Tennessee	2015
Murfreesboro	3	Rutherford, TN	5	Tennessee	2015
Rutherford County	0	Rutherford, TN	1	Tennessee	2015
Scott County	2	Scott, TN	2	Tennessee	2015
Dunlap	1	Sequatchie, TN	1	Tennessee	2015
Sevier County	1	Sevier, TN	2	Tennessee	2015
Germantown	1	Shelby, TN	1	Tennessee	2015
Memphis	75	Shelby, TN	138	Tennessee	2015
Shelby County	1	Shelby, TN	2	Tennessee	2015
Kingsport	5	Sullivan, TN	6	Tennessee	2015
Sullivan County	3	Sullivan, TN	3	Tennessee	2015
Covington	0	Tipton, TN	1	Tennessee	2015
Tipton County	0	Tipton, TN	1	Tennessee	2015
Erwin	1	Unicoi, TN	1	Tennessee	2015
Unicoi County	1	Unicoi, TN	1	Tennessee	2015
Union County	1	Union, TN	0	Tennessee	2015
Van Buren County	1	Van Buren, TN	1	Tennessee	2015
Mcminnville	1	Warren, TN	2	Tennessee	2015
Warren County	2	Warren, TN	2	Tennessee	2015
Johnson City	4	Washington, TN	4	Tennessee	2015
Washington County	3	Washington, TN	3	Tennessee	2015
Martin	1	Weakley, TN	1	Tennessee	2015
Weakley County	1	Weakley, TN	1	Tennessee	2015
White County	2	White, TN	2	Tennessee	2015
Franklin	1	Williamson, TN	1	Tennessee	2015
Lebanon	4	Wilson, TN	5	Tennessee	2015
Wilson County	0	Wilson, TN	1	Tennessee	2015
Anderson County	7	Anderson, TX	7	Texas	2015
Palestine	0	Anderson, TX	2	Texas	2015
Andrews	1	Andrews, TX	0	Texas	2015
Angelina County	4	Angelina, TX	3	Texas	2015
Lufkin	1	Angelina, TX	1	Texas	2015
Aransas County	0	Aransas, TX	1	Texas	2015
Atascosa County	5	Atascosa, TX	4	Texas	2015
Pleasanton	0	Atascosa, TX	1	Texas	2015
Poteet	1	Atascosa, TX	1	Texas	2015
Bastrop County	3	Bastrop, TX	4	Texas	2015
Bee County	0	Bee, TX	3	Texas	2015
Bell County	1	Bell, TX	2	Texas	2015
Harker Heights	2	Bell, TX	2	Texas	2015
Killeen	11	Bell, TX	17	Texas	2015
Temple	3	Bell, TX	2	Texas	2015
Bexar County	7	Bexar, TX	14	Texas	2015
Converse	0	Bexar, TX	2	Texas	2015
Helotes	1	Bexar, TX	1	Texas	2015
Live Oak	1	Bexar, TX	1	Texas	2015
San Antonio	81	Bexar, TX	94	Texas	2015
De Kalb	0	Bowie, TX	1	Texas	2015
Texarkana	2	Bowie, TX	3	Texas	2015
Alvin	1	Brazoria, TX	0	Texas	2015
Angleton	1	Brazoria, TX	1	Texas	2015
Brazoria County	1	Brazoria, TX	1	Texas	2015
Pearland	2	Brazoria, TX	2	Texas	2015
Brazos County	1	Brazos, TX	2	Texas	2015
Bryan	2	Brazos, TX	5	Texas	2015
College Station	2	Brazos, TX	2	Texas	2015
Alpine	1	Brewster, TX	1	Texas	2015
Falfurrias	1	Brooks, TX	1	Texas	2015
Brownwood	1	Brown, TX	1	Texas	2015
Caldwell	1	Burleson, TX	1	Texas	2015
Burnet County	1	Burnet, TX	1	Texas	2015
Calhoun County	5	Calhoun, TX	5	Texas	2015
Callahan County	1	Callahan, TX	1	Texas	2015
Clyde	1	Callahan, TX	1	Texas	2015
Brownsville	1	Cameron, TX	3	Texas	2015
Cameron County	1	Cameron, TX	3	Texas	2015
Harlingen	1	Cameron, TX	1	Texas	2015
Camp County	1	Camp, TX	1	Texas	2015
Pittsburg	2	Camp, TX	2	Texas	2015
Cass County	1	Cass, TX	1	Texas	2015
Chambers County	6	Chambers, TX	4	Texas	2015
Cherokee County	1	Cherokee, TX	1	Texas	2015
Jacksonville	1	Cherokee, TX	1	Texas	2015
Rusk	0	Cherokee, TX	1	Texas	2015
Frisco	3	Collin, TX	2	Texas	2015
Mckinney	2	Collin, TX	2	Texas	2015
Plano	4	Collin, TX	4	Texas	2015
Wylie	0	Collin, TX	1	Texas	2015
Comal County	2	Comal, TX	2	Texas	2015
New Braunfels	0	Comal, TX	2	Texas	2015
Comanche County	1	Comanche, TX	1	Texas	2015
Gainesville	1	Cooke, TX	1	Texas	2015
Copperas Cove	1	Coryell, TX	1	Texas	2015
Crane	1	Crane, TX	1	Texas	2015
Crane County	0	Crane, TX	1	Texas	2015
Balch Springs	2	Dallas, TX	1	Texas	2015
Carrollton	2	Dallas, TX	2	Texas	2015
Cedar Hill	1	Dallas, TX	3	Texas	2015
Dallas	81	Dallas, TX	136	Texas	2015
Desoto	2	Dallas, TX	2	Texas	2015
Duncanville	3	Dallas, TX	4	Texas	2015
